custom/episode_length,custom/total_distance,time/num_timesteps,custom/total_reward,custom/mean_reward,custom/collision_num,custom/avg_center_dev,custom/collision_rate,custom/avg_speed,custom/routes_completed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/value_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/entropy_loss,custom/CPS,custom/CPM,custom/collision_interval,custom/collision_speed
132,14.856894988972272,131,7.780311414685496,0.05894175314155679,0,0.3128212246701037,0.0,6.143095710034044,0.38461538461538464,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24,7.744133,131.0,1,42,1024,,,,,,,,,,,,,,,
1143,26.96568652555743,1273,29.5662364425773,0.025867223484319597,0,0.3046114999956753,0.0,1.3241471395163429,0.11016949152542373,,,,,,,0.37944637797772884,0.02751779556274414,0.006260303,10,0.10146484375,9.335694336e-05,-0.005618055636296049,1.0026381015777588,0.2,-0.07999946922063828,-2.840313509106636,,,,
227,9.37742886054366,1499,-1.2861047489883948,-0.0056656596871735455,0,0.23834439796193158,0.0,2.3088367692150653,0.15517241379310345,,,,,,,,,,,,,,,,,,,,,
456,12.897658344794081,1954,1.2002071321850778,0.0026320331846163988,0,0.6274094476065891,0.0,1.5830657870124414,0.023508137432188065,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,23,9.303458000000001,488.5,2,85,2048,,,,,,,,,,,,,,,
175,38.32357630500337,2128,18.78257054440925,0.10732897453948143,0,1.0109680539961623,0.0,11.924296971518519,0.6724137931034483,,,,,,,0.6317811815533787,0.416004478931427,0.011083525,20,0.10087890625,8.694457343999999e-05,-0.012640707445098088,1.006392240524292,0.2,-0.050988197326660156,-2.8467919498682024,,,,
387,53.20592804509113,2514,51.82913369765664,0.1339254100714642,0,0.41188368320760665,0.0,7.473298819085016,0.13033175355450238,,,,,,,,,,,,,,,,,,,,,
97,22.888649731619807,2610,16.997263055936312,0.17522951604058054,0,0.5008069731273671,0.0,12.852262753327183,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24,17.81637542857143,372.85714285714283,3,127,3072,,,,,,,,,,,,,,,
514,21.94161814303243,3123,23.96195454632099,0.046618588611519435,1,0.06897164560424468,0.125,2.3592535635624667,0.02696078431372549,,,,,,,0.8699349805247039,0.5018138587474823,0.013705706,30,0.11923828125,8.076289024e-05,-0.01221594211529009,1.0091675519943237,0.2,0.007882162928581238,-2.852828858792782,0.0019455252918287938,45.57549007922875,3132,0.6252930293530518
153,29.42896683468598,3275,16.678219519883502,0.10900797071819282,2,0.700916823031793,0.2222222222222222,10.458198596232704,0.7333333333333333,,,,,,,,,,,,,,,,,,0.006535947712418301,33.98012596287839,153,6.560244918592966
,,,,,,,,,,24,18.36843911111111,363.8888888888889,4,168,4096,,,,,,,,,,,,,,,
,,,,,,,,,,24,18.36843911111111,363.8888888888889,5,208,5120,0.4829894280526787,0.7785889655351639,0.0071012815,40,0.09853515625,7.481189376e-05,-0.013844548974884675,1.0135234594345093,0.2,-0.10294460505247116,-2.859743629395962,,,,
2553,25.916420481089517,5827,44.299320865994545,0.017351868729335897,3,0.6046339223524987,0.3,0.5802237042348972,0.12173913043478261,,,,,,,0.1062507622220437,0.807314321398735,0.0072373394,50,0.084375,6.9091584e-05,-0.005218896764563397,1.018415093421936,0.2,-0.13865244388580322,-2.8685576245188713,0.0003916960438699569,38.58557553230285,2553,0.09648300505245182
297,24.937260197324576,6123,21.663036392416913,0.07293951647278422,3,0.589519800930839,0.2727272727272727,4.590465239105127,0.6190476190476191,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24,21.021708727272724,556.6363636363636,6,250,6144,,,,,,,,,,,,,,,
,,,,,,,,,,24,21.021708727272724,556.6363636363636,7,291,7168,0.4432207410689443,0.8377139419317245,0.006112342,60,0.07177734375,6.360196096000001e-05,-0.010096014296868816,1.0222970247268677,0.2,0.06376464664936066,-2.8775487884879114,,,,
